Job_Title,Job_Role,Company,Location,Job_Description,User_Skills,Job_Requirements,Experience,Salary_Range,Rating
Product Manager,Product Manager,Microsoft India,Noida,Define product vision and roadmap. Work with engineering and design teams. Analyze market and user data. Prioritize features.,"Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira","Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira",3-6 years,15-28 LPA,3.4
UI/UX Designer,UI/UX Designer,Paytm,Pune,Design intuitive user interfaces and experiences. Create wireframes and prototypes. Conduct user research. Collaborate with developers.,"Figma, Adobe XD, Sketch, Prototyping, Wireframing, User Research, HTML, CSS","Figma, Adobe XD, Sketch, Prototyping, Wireframing, User Research, HTML, CSS",1-3 years,5-10 LPA,4.8
Scrum Master,Scrum Master,BYJU's,Remote,Facilitate agile ceremonies. Remove impediments for the team. Coach teams on agile practices. Track sprint progress.,"Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management","Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management",2-5 years,10-18 LPA,4.7
Quantitative Analyst,Quantitative Analyst,TechCorp,Pune,Develop statistical models for financial data. Analyze market trends and patterns. Build risk models and trading algorithms.,"Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas","Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas",2-4 years,15-25 LPA,4.5
Mobile App Developer,Mobile App Developer,BYJU's,Remote,Develop Android and iOS mobile applications. Work with React Native or Flutter. Integrate with backend APIs. Publish apps to stores.,"React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase","React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase",2-4 years,8-15 LPA,3.6
AI Research Scientist,AI Research Scientist,Paytm,Kolkata,Conduct research in deep learning and NLP. Publish papers and implement novel algorithms. Work on cutting-edge AI problems.,"Python, PyTorch, TensorFlow, NLP, Computer Vision, Research, Mathematics, CUDA","Python, PyTorch, TensorFlow, NLP, Computer Vision, Research, Mathematics, CUDA",3-6 years,20-35 LPA,3.8
Database Administrator,Database Administrator,Microsoft India,Pune,Manage and optimize databases. Ensure data integrity and security. Perform backups and recovery. Monitor database performance.,"SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux","SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux",2-5 years,8-14 LPA,3.4
Prompt Engineer,Prompt Engineer,Flipkart,Remote,Design and optimize prompts for LLMs. Evaluate model outputs. Build AI-powered applications. Work with GPT and Claude APIs.,"Python, NLP, LLMs, Prompt Engineering, OpenAI API, HuggingFace, Communication","Python, NLP, LLMs, Prompt Engineering, OpenAI API, HuggingFace, Communication",1-3 years,10-20 LPA,3.8
AWS Solutions Architect,AWS Solutions Architect,Google India,Mumbai,Design scalable cloud architectures on AWS. Lead cloud migrations. Define best practices. Provide technical guidance to teams.,"AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux","AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux",4-7 years,18-30 LPA,3.3
Data Engineer,Data Engineer,Freshworks,Mumbai,Build and maintain data pipelines. Design data warehouses. Work with big data technologies. Ensure data quality and reliability.,"Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala","Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala",2-4 years,10-16 LPA,4.1
Frontend Developer,Frontend Developer,Freshworks,Kolkata,Build responsive and interactive web interfaces. Work with modern JavaScript frameworks. Optimize performance. Ensure cross-browser compatibility.,"JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack","JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack",1-3 years,6-12 LPA,3.1
Digital Marketing Analyst,Digital Marketing Analyst,Zoho,Remote,Analyze campaign performance data. Optimize SEO and SEM strategies. Build dashboards for marketing metrics. A/B test campaigns.,"Google Analytics, SQL, Excel, SEO, SEM, Python, Tableau, Social Media Analytics","Google Analytics, SQL, Excel, SEO, SEM, Python, Tableau, Social Media Analytics",1-3 years,5-10 LPA,4.2
DevOps Engineer,DevOps Engineer,Flipkart,Remote,Manage CI/CD pipelines. Automate infrastructure using IaC. Monitor systems and ensure uptime. Collaborate with development teams.,"Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python","Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python",2-5 years,10-18 LPA,4.8
Python Developer,Python Developer,TechCorp,Hyderabad,Develop backend services using Python and Django/Flask. Write clean and maintainable code. Work in agile environment. Integrate with databases and APIs.,"Python, Django, Flask, REST API, SQL, Git, Docker, Linux, PostgreSQL, Redis","Python, Django, Flask, REST API, SQL, Git, Docker, Linux, PostgreSQL, Redis",1-3 years,6-12 LPA,3.4
AWS Solutions Architect,AWS Solutions Architect,TCS,Noida,Design scalable cloud architectures on AWS. Lead cloud migrations. Define best practices. Provide technical guidance to teams.,"AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux","AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux",4-7 years,18-30 LPA,3.8
Business Intelligence Analyst,Business Intelligence Analyst,TCS,Delhi,Build BI dashboards. Analyze business performance data. Create automated reports. Work with stakeholders to understand data needs.,"Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS","Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS",1-3 years,6-12 LPA,4.4
Robotics Engineer,Robotics Engineer,Google India,Bangalore,Design and program robotic systems. Work with ROS and sensor integration. Develop control algorithms. Test and validate robots.,"Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision","Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision",3-6 years,12-22 LPA,4.6
UI/UX Designer,UI/UX Designer,Paytm,Kolkata,Design intuitive user interfaces and experiences. Create wireframes and prototypes. Conduct user research. Collaborate with developers.,"Figma, Adobe XD, Sketch, Prototyping, Wireframing, User Research, HTML, CSS","Figma, Adobe XD, Sketch, Prototyping, Wireframing, User Research, HTML, CSS",1-3 years,5-10 LPA,4.4
Growth Hacker,Growth Hacker,BYJU's,Remote,Drive user acquisition and retention. Run experiments and A/B tests. Analyze funnel metrics. Work with product and marketing teams.,"Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication","Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication",2-4 years,8-14 LPA,3.9
QA Engineer,QA Engineer,Flipkart,Pune,Design and execute test plans. Automate test cases using Selenium. Report and track bugs. Ensure software quality before release.,"Selenium, Python, Java, TestNG, Jira, SQL, API Testing, Postman, Manual Testing","Selenium, Python, Java, TestNG, Jira, SQL, API Testing, Postman, Manual Testing",1-3 years,5-10 LPA,3.3
Data Analyst,Data Analyst,TechCorp,Mumbai,Collect and interpret data to identify trends. Create dashboards and reports. Work with business teams to define KPIs. Use SQL and Excel for analysis.,"SQL, Excel, Power BI, Tableau, Python, Data Cleaning, Statistics, Google Analytics","SQL, Excel, Power BI, Tableau, Python, Data Cleaning, Statistics, Google Analytics",0-2 years,4-8 LPA,3.6
DevOps Engineer,DevOps Engineer,Accenture,Bangalore,Manage CI/CD pipelines. Automate infrastructure using IaC. Monitor systems and ensure uptime. Collaborate with development teams.,"Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python","Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python",2-5 years,10-18 LPA,4.7
Security Engineer,Security Engineer,Zoho,Kolkata,Design and implement security systems. Conduct threat modeling. Develop security tools and scripts. Respond to security incidents.,"Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM","Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM",3-6 years,14-24 LPA,3.4
IoT Engineer,IoT Engineer,Microsoft India,Remote,"Design and build IoT systems. Work with sensors, actuators, and cloud platforms. Develop firmware and backend services. Ensure connectivity.","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API",2-5 years,8-16 LPA,3.9
Database Administrator,Database Administrator,TCS,Noida,Manage and optimize databases. Ensure data integrity and security. Perform backups and recovery. Monitor database performance.,"SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux","SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux",2-5 years,8-14 LPA,3.1
Financial Analyst,Financial Analyst,Accenture,Hyderabad,Analyze financial data and trends. Build financial models and forecasts. Prepare reports for management. Support budgeting process.,"Excel, SQL, Financial Modeling, Python, Power BI, Statistics, Accounting, ERP","Excel, SQL, Financial Modeling, Python, Power BI, Statistics, Accounting, ERP",2-4 years,8-15 LPA,4.3
Digital Marketing Analyst,Digital Marketing Analyst,Google India,Pune,Analyze campaign performance data. Optimize SEO and SEM strategies. Build dashboards for marketing metrics. A/B test campaigns.,"Google Analytics, SQL, Excel, SEO, SEM, Python, Tableau, Social Media Analytics","Google Analytics, SQL, Excel, SEO, SEM, Python, Tableau, Social Media Analytics",1-3 years,5-10 LPA,3.5
Computer Vision Engineer,Computer Vision Engineer,TCS,Pune,Build image recognition and object detection systems. Work with CNNs and deep learning. Deploy vision models to production.,"Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA","Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA",2-5 years,12-22 LPA,4.3
NLP Engineer,NLP Engineer,Google India,Noida,Develop natural language processing models. Build text classification and extraction systems. Work on chatbots and conversational AI.,"Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace","Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace",2-5 years,12-20 LPA,3.9
AWS Solutions Architect,AWS Solutions Architect,TCS,Noida,Design scalable cloud architectures on AWS. Lead cloud migrations. Define best practices. Provide technical guidance to teams.,"AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux","AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux",4-7 years,18-30 LPA,3.9
Web Designer,Web Designer,InfoSys,Pune,"Design visually appealing websites. Work with HTML, CSS, and JavaScript. Ensure responsive design. Collaborate with marketing teams.","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress",1-3 years,4-8 LPA,4.6
DevOps Engineer,DevOps Engineer,Zomato,Mumbai,Manage CI/CD pipelines. Automate infrastructure using IaC. Monitor systems and ensure uptime. Collaborate with development teams.,"Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python","Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python",2-5 years,10-18 LPA,3.9
Backend Developer,Backend Developer,Google India,Mumbai,Develop server-side logic and APIs. Work with databases and cloud services. Ensure scalability and performance. Write documentation.,"Node.js, Python, Java, SQL, NoSQL, REST API, GraphQL, Docker, AWS","Node.js, Python, Java, SQL, NoSQL, REST API, GraphQL, Docker, AWS",2-4 years,8-14 LPA,4.4
Database Administrator,Database Administrator,InfoSys,Chennai,Manage and optimize databases. Ensure data integrity and security. Perform backups and recovery. Monitor database performance.,"SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux","SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux",2-5 years,8-14 LPA,4.0
Cybersecurity Analyst,Cybersecurity Analyst,Paytm,Kolkata,Monitor networks for security threats. Investigate incidents and vulnerabilities. Implement security policies and procedures. Conduct security audits.,"Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP","Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP",2-4 years,8-15 LPA,3.3
Machine Learning Engineer,Machine Learning Engineer,Accenture,Mumbai,Design and implement ML pipelines. Deploy models to production. Optimize algorithms for performance. Collaborate with data scientists and engineers.,"Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Docker, Kubernetes, REST API, Git, Linux","Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Docker, Kubernetes, REST API, Git, Linux",2-5 years,10-18 LPA,3.9
Game Developer,Game Developer,Paytm,Pune,Design and build video games. Work with Unity or Unreal Engine. Implement game mechanics and physics. Optimize performance.,"C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics","C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics",2-5 years,8-16 LPA,3.1
Machine Learning Engineer,Machine Learning Engineer,Accenture,Remote,Design and implement ML pipelines. Deploy models to production. Optimize algorithms for performance. Collaborate with data scientists and engineers.,"Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Docker, Kubernetes, REST API, Git, Linux","Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Docker, Kubernetes, REST API, Git, Linux",2-5 years,10-18 LPA,4.1
Risk Analyst,Risk Analyst,Freshworks,Bangalore,Identify and assess business risks. Develop risk mitigation strategies. Analyze data to predict potential issues. Report to management.,"SQL, Python, Excel, Statistics, Risk Modeling, Power BI, Financial Analysis","SQL, Python, Excel, Statistics, Risk Modeling, Power BI, Financial Analysis",2-4 years,8-14 LPA,4.0
Business Intelligence Analyst,Business Intelligence Analyst,Amazon,Mumbai,Build BI dashboards. Analyze business performance data. Create automated reports. Work with stakeholders to understand data needs.,"Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS","Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS",1-3 years,6-12 LPA,3.4
NLP Engineer,NLP Engineer,InfoSys,Pune,Develop natural language processing models. Build text classification and extraction systems. Work on chatbots and conversational AI.,"Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace","Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace",2-5 years,12-20 LPA,4.8
MLOps Engineer,MLOps Engineer,Zomato,Chennai,Manage ML model lifecycle. Automate training and deployment pipelines. Monitor model performance in production. Maintain infrastructure.,"Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform","Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform",3-5 years,14-22 LPA,3.5
Database Developer,Database Developer,Paytm,Hyderabad,Design and develop database schemas. Write complex queries and stored procedures. Optimize query performance. Work with application teams.,"SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python","SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python",2-4 years,7-12 LPA,3.8
Product Manager,Product Manager,Swiggy,Hyderabad,Define product vision and roadmap. Work with engineering and design teams. Analyze market and user data. Prioritize features.,"Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira","Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira",3-6 years,15-28 LPA,4.2
Android Developer,Android Developer,Swiggy,Pune,Build native Android applications. Work with Kotlin and Java. Integrate APIs and local databases. Follow Material Design guidelines.,"Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack","Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack",1-3 years,6-12 LPA,4.9
UI/UX Designer,UI/UX Designer,Zomato,Bangalore,Design intuitive user interfaces and experiences. Create wireframes and prototypes. Conduct user research. Collaborate with developers.,"Figma, Adobe XD, Sketch, Prototyping, Wireframing, User Research, HTML, CSS","Figma, Adobe XD, Sketch, Prototyping, Wireframing, User Research, HTML, CSS",1-3 years,5-10 LPA,4.8
IoT Engineer,IoT Engineer,Microsoft India,Bangalore,"Design and build IoT systems. Work with sensors, actuators, and cloud platforms. Develop firmware and backend services. Ensure connectivity.","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API",2-5 years,8-16 LPA,3.8
Cybersecurity Analyst,Cybersecurity Analyst,InfoSys,Remote,Monitor networks for security threats. Investigate incidents and vulnerabilities. Implement security policies and procedures. Conduct security audits.,"Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP","Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP",2-4 years,8-15 LPA,4.9
Game Developer,Game Developer,Zoho,Bangalore,Design and build video games. Work with Unity or Unreal Engine. Implement game mechanics and physics. Optimize performance.,"C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics","C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics",2-5 years,8-16 LPA,3.2
AWS Solutions Architect,AWS Solutions Architect,Wipro,Hyderabad,Design scalable cloud architectures on AWS. Lead cloud migrations. Define best practices. Provide technical guidance to teams.,"AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux","AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux",4-7 years,18-30 LPA,4.7
Android Developer,Android Developer,Wipro,Mumbai,Build native Android applications. Work with Kotlin and Java. Integrate APIs and local databases. Follow Material Design guidelines.,"Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack","Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack",1-3 years,6-12 LPA,3.6
Blockchain Developer,Blockchain Developer,TechCorp,Hyderabad,Develop smart contracts and decentralized applications. Work with Ethereum and Solidity. Integrate blockchain with backend systems.,"Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git","Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git",2-5 years,12-22 LPA,4.3
Cybersecurity Analyst,Cybersecurity Analyst,Swiggy,Pune,Monitor networks for security threats. Investigate incidents and vulnerabilities. Implement security policies and procedures. Conduct security audits.,"Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP","Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP",2-4 years,8-15 LPA,3.4
Healthcare Data Analyst,Healthcare Data Analyst,InfoSys,Kolkata,Analyze patient and clinical data. Build dashboards for healthcare KPIs. Ensure data compliance and privacy. Support clinical research.,"SQL, Python, R, Tableau, Healthcare Analytics, HIPAA, Excel, Statistics","SQL, Python, R, Tableau, Healthcare Analytics, HIPAA, Excel, Statistics",2-4 years,7-13 LPA,3.2
AWS Solutions Architect,AWS Solutions Architect,BYJU's,Hyderabad,Design scalable cloud architectures on AWS. Lead cloud migrations. Define best practices. Provide technical guidance to teams.,"AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux","AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux",4-7 years,18-30 LPA,4.7
Computer Vision Engineer,Computer Vision Engineer,Zomato,Chennai,Build image recognition and object detection systems. Work with CNNs and deep learning. Deploy vision models to production.,"Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA","Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA",2-5 years,12-22 LPA,4.2
Healthcare Data Analyst,Healthcare Data Analyst,Wipro,Hyderabad,Analyze patient and clinical data. Build dashboards for healthcare KPIs. Ensure data compliance and privacy. Support clinical research.,"SQL, Python, R, Tableau, Healthcare Analytics, HIPAA, Excel, Statistics","SQL, Python, R, Tableau, Healthcare Analytics, HIPAA, Excel, Statistics",2-4 years,7-13 LPA,4.1
Automation Test Engineer,Automation Test Engineer,Google India,Mumbai,Build and maintain test automation frameworks. Write scripts for regression testing. Integrate tests into CI/CD pipelines.,"Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git","Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git",2-4 years,7-13 LPA,3.7
Full Stack Developer,Full Stack Developer,Amazon,Delhi,Build web applications from frontend to backend. Work with React and Node.js. Design RESTful APIs. Collaborate with UI/UX designers.,"JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express","JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express",2-4 years,8-16 LPA,4.0
Site Reliability Engineer,Site Reliability Engineer,Freshworks,Chennai,Ensure reliability and performance of production systems. Automate operations. Define SLOs and SLAs. Respond to incidents.,"Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management","Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management",3-6 years,14-24 LPA,3.5
Financial Analyst,Financial Analyst,TCS,Pune,Analyze financial data and trends. Build financial models and forecasts. Prepare reports for management. Support budgeting process.,"Excel, SQL, Financial Modeling, Python, Power BI, Statistics, Accounting, ERP","Excel, SQL, Financial Modeling, Python, Power BI, Statistics, Accounting, ERP",2-4 years,8-15 LPA,4.9
Game Developer,Game Developer,Microsoft India,Remote,Design and build video games. Work with Unity or Unreal Engine. Implement game mechanics and physics. Optimize performance.,"C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics","C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics",2-5 years,8-16 LPA,3.8
Bioinformatics Engineer,Bioinformatics Engineer,Zoho,Pune,Analyze genomic and biological data. Build pipelines for data processing. Apply ML to biological datasets. Collaborate with researchers.,"Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow","Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow",2-5 years,10-18 LPA,4.8
Product Manager,Product Manager,Microsoft India,Kolkata,Define product vision and roadmap. Work with engineering and design teams. Analyze market and user data. Prioritize features.,"Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira","Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira",3-6 years,15-28 LPA,3.3
Python Developer,Python Developer,Flipkart,Hyderabad,Develop backend services using Python and Django/Flask. Write clean and maintainable code. Work in agile environment. Integrate with databases and APIs.,"Python, Django, Flask, REST API, SQL, Git, Docker, Linux, PostgreSQL, Redis","Python, Django, Flask, REST API, SQL, Git, Docker, Linux, PostgreSQL, Redis",1-3 years,6-12 LPA,3.9
MLOps Engineer,MLOps Engineer,Flipkart,Hyderabad,Manage ML model lifecycle. Automate training and deployment pipelines. Monitor model performance in production. Maintain infrastructure.,"Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform","Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform",3-5 years,14-22 LPA,4.4
Web Designer,Web Designer,TCS,Bangalore,"Design visually appealing websites. Work with HTML, CSS, and JavaScript. Ensure responsive design. Collaborate with marketing teams.","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress",1-3 years,4-8 LPA,5.0
QA Engineer,QA Engineer,Google India,Bangalore,Design and execute test plans. Automate test cases using Selenium. Report and track bugs. Ensure software quality before release.,"Selenium, Python, Java, TestNG, Jira, SQL, API Testing, Postman, Manual Testing","Selenium, Python, Java, TestNG, Jira, SQL, API Testing, Postman, Manual Testing",1-3 years,5-10 LPA,4.1
Automation Test Engineer,Automation Test Engineer,Zoho,Bangalore,Build and maintain test automation frameworks. Write scripts for regression testing. Integrate tests into CI/CD pipelines.,"Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git","Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git",2-4 years,7-13 LPA,4.4
AI Research Scientist,AI Research Scientist,Flipkart,Remote,Conduct research in deep learning and NLP. Publish papers and implement novel algorithms. Work on cutting-edge AI problems.,"Python, PyTorch, TensorFlow, NLP, Computer Vision, Research, Mathematics, CUDA","Python, PyTorch, TensorFlow, NLP, Computer Vision, Research, Mathematics, CUDA",3-6 years,20-35 LPA,3.2
Web Designer,Web Designer,Amazon,Chennai,"Design visually appealing websites. Work with HTML, CSS, and JavaScript. Ensure responsive design. Collaborate with marketing teams.","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress",1-3 years,4-8 LPA,4.9
Bioinformatics Engineer,Bioinformatics Engineer,Zomato,Delhi,Analyze genomic and biological data. Build pipelines for data processing. Apply ML to biological datasets. Collaborate with researchers.,"Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow","Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow",2-5 years,10-18 LPA,4.8
Full Stack Developer,Full Stack Developer,TechCorp,Delhi,Build web applications from frontend to backend. Work with React and Node.js. Design RESTful APIs. Collaborate with UI/UX designers.,"JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express","JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express",2-4 years,8-16 LPA,3.8
Computer Vision Engineer,Computer Vision Engineer,Zoho,Pune,Build image recognition and object detection systems. Work with CNNs and deep learning. Deploy vision models to production.,"Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA","Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA",2-5 years,12-22 LPA,4.8
Business Intelligence Analyst,Business Intelligence Analyst,Zoho,Kolkata,Build BI dashboards. Analyze business performance data. Create automated reports. Work with stakeholders to understand data needs.,"Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS","Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS",1-3 years,6-12 LPA,4.9
Digital Marketing Analyst,Digital Marketing Analyst,InfoSys,Delhi,Analyze campaign performance data. Optimize SEO and SEM strategies. Build dashboards for marketing metrics. A/B test campaigns.,"Google Analytics, SQL, Excel, SEO, SEM, Python, Tableau, Social Media Analytics","Google Analytics, SQL, Excel, SEO, SEM, Python, Tableau, Social Media Analytics",1-3 years,5-10 LPA,4.6
Data Engineer,Data Engineer,Zoho,Bangalore,Build and maintain data pipelines. Design data warehouses. Work with big data technologies. Ensure data quality and reliability.,"Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala","Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala",2-4 years,10-16 LPA,3.6
QA Engineer,QA Engineer,Flipkart,Hyderabad,Design and execute test plans. Automate test cases using Selenium. Report and track bugs. Ensure software quality before release.,"Selenium, Python, Java, TestNG, Jira, SQL, API Testing, Postman, Manual Testing","Selenium, Python, Java, TestNG, Jira, SQL, API Testing, Postman, Manual Testing",1-3 years,5-10 LPA,4.7
Financial Analyst,Financial Analyst,Paytm,Pune,Analyze financial data and trends. Build financial models and forecasts. Prepare reports for management. Support budgeting process.,"Excel, SQL, Financial Modeling, Python, Power BI, Statistics, Accounting, ERP","Excel, SQL, Financial Modeling, Python, Power BI, Statistics, Accounting, ERP",2-4 years,8-15 LPA,4.8
